name,party,district,chamber,email,capitol_voice
Jim Lucas,Republican,69,House,h69@iga.in.gov,
Jim Pressel,Republican,20,House,h20@iga.in.gov,317-232-9648
Joanna King,Republican,49,House,h49@iga.in.gov,
John Bartlett,Democratic,95,House,h95@iga.in.gov,
Julie McGuire,Republican,93,House,h93@iga.in.gov,
Julie Olthoff,Republican,19,House,h19@iga.in.gov,
Justin Busch,Republican,16,Senate,s16@iga.in.gov,
Justin Moed,Democratic,97,House,h97@iga.in.gov,
Karen Engleman,Republican,70,House,h70@iga.in.gov,
Kendell Culp,Republican,16,House,h16@iga.in.gov,
Kyle Miller,Democratic,82,House,h82@iga.in.gov,
Kyle Pierce,Republican,36,House,h36@iga.in.gov,
Kyle Walker,Republican,31,Senate,s31@iga.in.gov,
La Keisha Jackson,Democratic,34,Senate,s34@iga.in.gov,
Linda Rogers,Republican,11,Senate,s11@iga.in.gov,
Lindsay Patterson,Republican,55,House,h55@iga.in.gov,
Liz Brown,Republican,15,Senate,s15@iga.in.gov,
Lonnie Randolph,Democratic,2,Senate,s2@iga.in.gov,
Lori Goss-Reaves,Republican,31,House,h31@iga.in.gov,
Lorissa Sweet,Republican,50,House,h50@iga.in.gov,
Mark Genda,Republican,41,House,h41@iga.in.gov,
Mark Spencer,Democratic,3,Senate,s3@iga.in.gov,
Martin Carbaugh,Republican,81,House,h81@iga.in.gov,
Matt Commons,Republican,13,House,h13@iga.in.gov,
Matt Hostettler,Republican,64,House,h64@iga.in.gov,
Matt Lehman,Republican,79,House,h79@iga.in.gov,
Matt Pierce,Democratic,61,House,h61@iga.in.gov,
Maureen Bauer,Democratic,6,House,h06@iga.in.gov,
Michael Crider,Republican,28,Senate,s28@iga.in.gov,
Mike Karickhoff,Republican,30,House,h30@iga.in.gov,
Mike Young,Republican,35,Senate,s35@iga.in.gov,
Michelle Davis,Republican,58,House,h58@iga.in.gov,
Mike Andrade,Democratic,12,House,h12@iga.in.gov,
Mike Aylesworth,Republican,11,House,h11@iga.in.gov,
Mike Bohacek,Republican,8,Senate,s8@iga.in.gov,
Mike Gaskill,Republican,25,Senate,s25@iga.in.gov,
Mitch Gore,Democratic,89,House,h89@iga.in.gov,
Patricia Boy,Democratic,9,House,h9@iga.in.gov,
Peggy Mayfield,Republican,60,House,h60@iga.in.gov,
Phil GiaQuinta,Democratic,80,House,h80@iga.in.gov,
Ragen Hatcher,Democratic,3,House,h3@iga.in.gov,
Randy Maxwell,Republican,43,Senate,s43@iga.in.gov,
Reneé Pack,Democratic,92,House,h92@iga.in.gov,
Rick Niemeyer,Republican,6,Senate,s6@iga.in.gov,
Robb Greene,Republican,47,House,h47@iga.in.gov,
Bob Behning,Republican,91,House,h91@iga.in.gov,
Bob Heaton,Republican,46,House,h46@iga.in.gov,
Bob Morris,Republican,84,House,h84@iga.in.gov,
Robin Shackleford,Democratic,98,House,h98@iga.in.gov,
Rodney Pol,Democratic,4,Senate,s4@iga.in.gov,
Rod Bray,Republican,37,Senate,s37@iga.in.gov,
Ron Alting,Republican,22,Senate,s22@iga.in.gov,
Ryan Dvorak,Democratic,8,House,h8@iga.in.gov,
Ryan Lauer,Republican,59,House,h59@iga.in.gov,
Ryan Mishler,Republican,9,Senate,s9@iga.in.gov,
Scott Alexander,Republican,26,Senate,s26@iga.in.gov,
Scott Baldwin,Republican,20,Senate,s20@iga.in.gov,
Shane Lindauer,Republican,63,House,h63@iga.in.gov,
Sheila Klinker,Democratic,27,House,h27@iga.in.gov,
Shelli Yoder,Democratic,40,Senate,s40@iga.in.gov,
Spencer Deery,Republican,23,Senate,s23@iga.in.gov,
Stacey Donato,Republican,18,Senate,s18@iga.in.gov,
Steve Bartels,Republican,74,House,h74@iga.in.gov,
Sue Errington,Democratic,34,House,h34@iga.in.gov,
Sue Glick,Republican,13,Senate,s13@iga.in.gov,
Tim O'Brien,Republican,78,House,h78@iga.in.gov,
Tim Yocum,Republican,42,House,h42@iga.in.gov,
Tim Wesco,Republican,21,House,h21@iga.in.gov,
Todd Huston,Republican,37,House,h37@iga.in.gov,
Tony Isa,Republican,51,House,h51@iga.in.gov,
Tonya Pfaff,Democratic,43,House,h43@iga.in.gov,
Travis Holdman,Republican,19,Senate,s19@iga.in.gov,
Tyler Johnson,Republican,14,Senate,s14@iga.in.gov,
Vanessa Summers,Democratic,99,House,h99@iga.in.gov,
Vaneta Becker,Republican,50,Senate,s50@iga.in.gov,
Vernon Smith,Democratic,14,House,h14@iga.in.gov,
Victoria Garcia Wilburn,Democratic,32,House,h32@iga.in.gov,
Wendy Dant Chesser,Democratic,71,House,h71@iga.in.gov,
Wendy McNamara,Republican,76,House,h76@iga.in.gov,
Zach Payne,Republican,66,House,h66@iga.in.gov,
