name,party,district,chamber,email,capitol_voice
Chris Rogers,Democratic,2,House,assemblymember.rogers@assembly.ca.gov,707-576-2526
Christopher Cabaldon,Democratic,3,Senate,senator.cabaldon@senate.ca.gov,707-454-3808
Chris Ward,Democratic,78,House,assemblymember.ward@assembly.ca.gov,619-280-7801
Corey Jackson,Democratic,60,House,assemblymember.jackson@assembly.ca.gov,951-653-0960
Cottie Petrie-Norris,Democratic,73,House,assemblymember.petrie-norris@assembly.ca.gov,949-251-0074
Damon Connolly,Democratic,12,House,assemblymember.connolly@assembly.ca.gov,415-479-4920
Darsh Patel,Democratic,76,House,assemblymember.patel@assembly.ca.gov,858-675-0760
Dave Cortese,Democratic,15,Senate,senator.cortese@senate.ca.gov,408-723-4154
David Alvarez,Democratic,80,House,assemblymember.alvarez@assembly.ca.gov,619-498-8580
David Tangipa,Republican,8,House,assemblymember.tangipa@assembly.ca.gov,559-446-2029
Dawn Addis,Democratic,30,House,dawn.addis@asm.ca.gov,831-649-2832
Diane Dixon,Republican,72,House,assemblymember.dixon@assembly.ca.gov,949-798-7221
Diane Papan,Democratic,21,House,assemblymember.papan@assembly.ca.gov,650-349-2200
Joaquin Arambula,Democratic,31,House,assemblymember.arambula@assembly.ca.gov,559-445-5532
Eloise Reyes,Democratic,29,Senate,senator.reyes@senate.ca.gov,909-888-5360
Esmeralda Soria,Democratic,27,House,assemblymember.soria@assembly.ca.gov,209-726-5465
Gail Pellerin,Democratic,28,House,assemblymember.pellerin@assembly.ca.gov,831-425-1503
Greg Wallis,Republican,47,House,assemblymember.wallis@assembly.ca.gov,760-346-6342
Gregg Hart,Democratic,37,House,assemblymember.hart@assembly.ca.gov,805-346-1237
Heath Flora,Republican,9,House,assemblymember.flora@assembly.ca.gov,209-599-2112
Heather Hadwick,Republican,1,House,assemblymember.hadwick@assembly.ca.gov,530-223-6300
Henry Stern,Democratic,27,Senate,senator.stern@senate.ca.gov,818-876-3352
Isaac Bryan,Democratic,55,House,assemblymember.bryan@assembly.ca.gov,310-641-5410
Jacqui Irwin,Democratic,42,House,assemblymember.irwin@assembly.ca.gov,424-238-2421
James Ramos,Democratic,45,House,assemblymember.ramos@assembly.ca.gov,909-889-7145
James Gallagher,Republican,3,House,assemblymember.gallagher@assembly.ca.gov,530-895-4217
Jasmeet Bains,Democratic,35,House,assemblymember.bains@assembly.ca.gov,661-335-0302
Jeff Gonzalez,Republican,36,House,assemblymember.gonzalez@assembly.ca.gov,760-347-2360
Jerry McNerney,Democratic,5,Senate,senator.mcnerney@senate.ca.gov,209-472-9535
Jesse Arreguín,Democratic,7,Senate,senator.arreguin@senate.ca.gov,510-286-1333
Jesse Gabriel,Democratic,46,House,assemblymember.gabriel@assembly.ca.gov,818-380-2460
Jessica Caloza,Democratic,52,House,assemblymember.caloza@assembly.ca.gov,213-483-5252
Joe Patterson,Republican,5,House,assemblymember.joepatterson@assembly.ca.gov,916-435-0501
John Harabedian,Democratic,41,House,assemblymember.harabedian@assembly.ca.gov,626-351-1917
John Laird,Democratic,17,Senate,senator.laird@senate.ca.gov,831-657-6315
José Solache,Democratic,62,House,assemblymember.solache@assembly.ca.gov,562-529-3250
Josh Becker,Democratic,13,Senate,senator.becker@senate.ca.gov,650-233-2724
Joshua Hoover,Republican,7,House,assemblymember.hoover@assembly.ca.gov,916-294-9774
Josh Lowenthal,Democratic,69,House,assemblymember.lowenthal@assembly.ca.gov,562-366-2769
Juan Alanis,Republican,22,House,assemblymember.alanis@assembly.ca.gov,209-521-2201
Juan Carrillo,Democratic,39,House,assemblymember.juancarrillo@assembly.ca.gov,661-266-3908
Kate Sanchez,Republican,71,House,assemblymember.sanchez@assembly.ca.gov,951-696-0002
Kelly Seyarto,Republican,32,Senate,senator.seyarto@senate.ca.gov,951-280-1260
LaShae Sharp-Collins,Democratic,79,House,assemblymember.sharpcollins@assembly.ca.gov,619-465-7903
Laura Richardson,Democratic,35,Senate,senator.richardson@senate.ca.gov,310-514-8573
Laurie Davies,Republican,74,House,assemblymember.davies@assembly.ca.gov,949-240-7300
Lena Gonzalez,Democratic,33,Senate,senator.gonzalez@senate.ca.gov,562-256-7921
Leticia Castillo,Republican,58,House,assemblymember.castillo@assembly.ca.gov,951-371-6860
Lisa Calderon,Democratic,56,House,assemblymember.calderon@assembly.ca.gov,562-692-5858
Liz Ortega,Democratic,20,House,assemblymember.ortega@assembly.ca.gov,510-583-8818
Lola Smallwood-Cuevas,Democratic,28,Senate,senator.smallwood-cuevas@senate.ca.gov,213-745-6656
Lori Wilson,Democratic,11,House,assemblymember.wilson@assembly.ca.gov,707-438-7359
Maggy Krell,Democratic,6,House,assemblymember.krell@assembly.ca.gov,916-324-4676
Marc Berman,Democratic,23,House,assemblymember.berman@assembly.ca.gov,650-324-0224
María Elena Durazo,Democratic,26,Senate,senator.durazo@senate.ca.gov,213-483-9300
Marie Alvarado-Gil,Republican,4,Senate,senator.alvarado-gil@senate.ca.gov,916-933-8680
Mark González,Democratic,54,House,assemblymember.gonzalez@assembly.ca.gov,213-620-4646
Matt Haney,Democratic,17,House,assemblymember.haney@assembly.ca.gov,415-557-3013
Megan Dahle,Republican,1,Senate,senator.dahle@senate.ca.gov,530-879-7424
Melissa Hurtado,Democratic,16,Senate,senator.hurtado@senate.ca.gov,661-395-2620
Mia Bonta,Democratic,18,House,assemblymember.mbonta@assembly.ca.gov,510-286-1670
Michelle Rodriguez,Democratic,53,House,assemblymember.michellerodriguez@assembly.ca.gov,909-902-9606
Mike Gipson,Democratic,65,House,assemblymember.gipson@assembly.ca.gov,310-324-6408
Mike Fong,Democratic,49,House,assemblymember.mikefong@asm.ca.gov,626-457-4918
Mike McGuire,Democratic,2,Senate,senator.mcguire@senate.ca.gov,707-468-8914
Monique Limón,Democratic,21,Senate,senator.limon@senate.ca.gov,805-988-1940
Nick Schultz,Democratic,44,House,assemblymember.schultz@assembly.ca.gov,818-558-3043
Patrick Ahrens,Democratic,26,House,assemblymember.ahrens@assembly.ca.gov,408-446-2810
Phillip Chen,Republican,59,House,assemblymember.chen@assembly.ca.gov,714-529-5502
Pilar Schiavo,Democratic,40,House,assemblymember.schiavo@assembly.ca.gov,661-286-1565
Rebecca Bauer-Kahan,Democratic,16,House,assemblymember.bauer-kahan@assembly.ca.gov,925-244-1600
Rhodesia Ransom,Democratic,13,House,assemblymember.ransom@assembly.ca.gov,209-948-7479
Rick Zbur,Democratic,51,House,assemblymember.zbur@assembly.ca.gov,323-436-5184
Robert Garcia,Democratic,50,House,assemblymember.garcia@assembly.ca.gov,909-966-5090
Robert Rivas,Democratic,29,House,assemblymember.robertrivas@assembly.ca.gov,831-759-8676
Roger Niello,Republican,6,Senate,senator.niello@senate.ca.gov,530-701-8114
Rosilicie Ochoa Bogh,Republican,19,Senate,senator.ochoabogh@senate.ca.gov,909-335-0271
Sabrina Cervantes,Democratic,31,Senate,senator.cervantes@senate.ca.gov,951-680-6750
Sade Elhawary,Democratic,57,House,assemblymember.elhawary@assembly.ca.gov,213-744-2111
Sasha Pérez,Democratic,25,Senate,senator.perez@senate.ca.gov,818-409-0402
Scott Wiener,Democratic,11,Senate,senator.wiener@senate.ca.gov,415-557-1300
Shannon Grove,Republican,12,Senate,senator.grove@senate.ca.gov,661-323-0443
Sharon Quirk-Silva,Democratic,67,House,assemblymember.quirk-silva@assembly.ca.gov,714-521-6713
Stephanie Nguyen,Democratic,10,House,assemblymember.stephanienguyen@assembly.ca.gov,916-670-7888
Steve Bennett,Democratic,38,House,assemblymember.bennett@assembly.ca.gov,805-485-4745
Steve Padilla,Democratic,18,Senate,senator.padilla@senate.ca.gov,760-398-6442
Steve Choi,Republican,37,Senate,senator.choi@senate.ca.gov,949-223-5472
Susan Rubio,Democratic,22,Senate,senator.rubio@senate.ca.gov,909-460-6064
Suzette Valladares,Republican,23,Senate,senator.valladares@senate.ca.gov,661-729-6232
Tasha Boerner,Democratic,77,House,assemblymember.boerner@assembly.ca.gov,858-481-7704
Tom Umberg,Democratic,34,Senate,senator.umberg@senate.ca.gov,714-558-3785
Tim Grayson,Democratic,9,Senate,senator.grayson@senate.ca.gov,925-258-1176
Tina McKinnor,Democratic,61,House,assemblymember.mckinnor@assembly.ca.gov,310-412-6400
Tom Lackey,Republican,34,House,assemblymember.lackey@assembly.ca.gov,661-267-7636
Tri Ta,Republican,70,House,assemblymember.ta@assembly.ca.gov,714-379-0970
