name,party,district,chamber,email,district_voice
Josh McLaurin,Democratic,14,Senate,josh.mclaurin@senate.ga.gov,
Jutt Howard,Republican,71,House,justin.howard@house.ga.gov,
Karen Bennett,Democratic,94,House,karen.bennett@house.ga.gov,
Karen Lupton,Democratic,83,House,karen.lupton@house.ga.gov,
Karen Mathiak,Republican,82,House,karen.mathiak@house.ga.gov,
Karla Drenner,Democratic,85,House,karla.drenner@house.ga.gov,
Karlton Howard,Democratic,129,House,karlton.howard@house.ga.gov,
Kasey Carpenter,Republican,4,House,kasey.carpenter@house.ga.gov,
Katie Dempsey,Republican,13,House,katie.dempsey@house.ga.gov,
Kay Kirkpatrick,Republican,32,Senate,kay.kirkpatrick@senate.ga.gov,
Kenya Wicks,Democratic,34,Senate,kenya.wicks@senate.ga.gov,
Kim Jackson,Democratic,41,Senate,kim.jackson@senate.ga.gov,
Kim Schofield,Democratic,63,House,kim.schoefield@house.ga.gov,
Kimberly Alexander,Democratic,66,House,kimberly.alexander@house.ga.gov,
Kimberly New,Republican,40,House,kimberly.new@house.ga.gov,
L.C. Myles,Democratic,126,House,lc.myles@house.ga.gov,
Larry Walker,Republican,20,Senate,larry.walker@senate.ga.gov,
Lauren McDonald,Republican,26,House,lauren.mcdonald@house.ga.gov,770-886-9899
Lee Anderson,Republican,24,Senate,lee.anderson@senate.ga.gov,
Lee Hawkins,Republican,27,House,lee.hawkins@house.ga.gov,
Leesa Hagan,Republican,156,House,leesa.hagan@house.ga.gov,
Lehman Franklin,Republican,160,House,lehman.franklin@house.ga.gov,
Lisa Campbell,Democratic,35,House,lisa.campbell@house.ga.gov,
Long Tran,Democratic,80,House,long.tran@house.ga.gov,
Lydia Glaize,Democratic,67,House,lydia.glaize@house.ga.gov,
Lynn Heffner,Democratic,130,House,lynn.heffner@house.ga.gov,
Lynn Smith,Republican,70,House,lynn.smith@house.ga.gov,
Mack Jackson,Democratic,128,House,mack.jackson@house.ga.gov,
Mandi Ballinger,Republican,23,House,mandi.ballinger@house.ga.gov,
Marcus Wiedower,Republican,121,House,marcus.wiedower@house.ga.gov,
Mark Newton,Republican,127,House,mark.newton@house.ga.gov,
Martin Momtahan,Republican,17,House,martin.momtahan@house.ga.gov,
Marty Harbin,Republican,16,Senate,marty.harbin@senate.ga.gov,
Marvin Lim,Democratic,98,House,marvin.lim@house.ga.gov,
Mary Ann Santos,Democratic,117,House,maryann.santos@house.ga.gov,
Mary Frances Williams,Democratic,37,House,maryfrances.williams@house.ga.gov,
Mary Margaret Oliver,Democratic,84,House,mary.oliver@house.ga.gov,
Matt Barton,Republican,5,House,matt.barton@house.ga.gov,
Matt Brass,Republican,6,Senate,matt.brass@senate.ga.gov,
Matt Dubnik,Republican,29,House,matt.dubnik@house.ga.gov,
Matt Hatchett,Republican,155,House,matt.hatchett@house.ga.gov,
Matt Reeves,Republican,99,House,matt.reeves@house.ga.gov,
Matthew Gambill,Republican,15,House,matthew.gambill@house.ga.gov,
Max Burns,Republican,23,Senate,max.burns@senate.ga.gov,
Mekyah McQueen,Democratic,61,House,mekyah.mcqueen@house.ga.gov,
Doc Rhett,Democratic,33,Senate,michael.rhett@senate.ga.gov,
Michael Smith,Democratic,41,House,michael.smith@house.ga.gov,
Michelle Au,Democratic,50,House,michelle.au@house.ga.gov,
Mike Cameron,Republican,1,House,mike.cameron@house.ga.gov,
Mike Cheokas,Republican,151,House,mike.cheokas@house.ga.gov,
Mike Hodges,Republican,3,Senate,mike.hodges@senate.ga.gov,
Miriam Paris,Democratic,142,House,miriam.paris@house.ga.gov,
Mitchell Horner,Republican,3,House,mitchell.horner@house.ga.gov,
Mitchell Scoggins,Republican,14,House,mitchell.scoggins@house.ga.gov,
Nabilah Islam Parkes,Democratic,7,Senate,nabilah.islam@senate.ga.gov,
Nan Orrock,Democratic,36,Senate,nan.orrock@senate.ga.gov,
Nikki Merritt,Democratic,9,Senate,nikki.merritt@senate.ga.gov,
Nissa Jones,Democratic,143,House,anissa.jones@house.ga.gov,
Noel Williams,Republican,148,House,noel.williams@house.ga.gov,
Noelle Kahaian,Republican,81,House,noelle.kahaian@house.ga.gov,
Omari Crawford,Democratic,89,House,omari.crawford@house.ga.gov,
Park Cannon,Democratic,58,House,park.cannon@house.ga.gov,
Patty Marie Stinson,Democratic,150,House,patty.stinson@house.ga.gov,
Phil Olaleye,Democratic,59,House,phil.olaleye@house.ga.gov,
Randal Mangham,Democratic,55,Senate,randal.mangham@senate.ga.gov,
Randy Robertson,Republican,29,Senate,randy.robertson@senate.ga.gov,
RaShaun Kemp,Democratic,38,Senate,rashaun.kemp@senate.ga.gov,
Regina Lewis-Ward,Democratic,115,House,regina.lewis-ward@house.ga.gov,
Rey Martinez,Republican,111,House,reynaldo.martinez@house.ga.gov,
Rhonda Burnough,Democratic,77,House,rhonda.burnough@house.ga.gov,
Rhonda Taylor,Democratic,92,House,rhonda.taylor@house.ga.gov,
Rick Jasperse,Republican,11,House,rick.jasperse@house.ga.gov,
Rick Townsend,Republican,179,House,rick.townsend@house.ga.gov,
Rick Williams,Republican,25,Senate,rick.williams@senate.ga.gov,
Rob Clifton,Republican,131,House,rob.clifton@house.ga.gov,
Rob Leverett,Republican,123,House,rob.leverett@house.ga.gov,
Robert Dawson,Democratic,65,House,robert.dawson@house.ga.gov,
Robert Dickey,Republican,134,House,robert.dickey@house.ga.gov,
Robert Flournoy,Democratic,74,House,robert.flournoy@house.ga.gov,
Ron Stephens,Republican,164,House,ron.stephens@house.ga.gov,
Russ Goodman,Republican,8,Senate,russ.goodman@senate.ga.gov,
Ruwa Romman,Democratic,97,House,ruwa.romman@house.ga.gov,
Saira Draper,Democratic,90,House,saira.draper@house.ga.gov,
Sally Harrell,Democratic,40,Senate,sally.harrell@senate.ga.gov,
Sam Park,Democratic,107,House,samuel.park@house.ga.gov,
Sam Watson,Republican,11,Senate,sam.watson@senate.ga.gov,
Sandra Scott,Democratic,76,House,sandra.scott@house.ga.gov,
Sandy Donatucci,Republican,105,House,sandy.donatucci@house.ga.gov,
Scott Hilton,Republican,48,House,scott.hilton@house.ga.gov,
Scott Holcomb,Democratic,101,House,scott.holcomb@house.ga.gov,
Segun Adeyina,Democratic,110,House,segun.adeyina@house.ga.gov,
Sharon Cooper,Republican,45,House,sharon.cooper@house.ga.gov,
Sharon Henderson,Democratic,113,House,sharon.henderson@house.ga.gov,
Shaw Blackmon,Republican,146,House,shaw.blackmon@house.ga.gov,
Shawn Still,Republican,48,Senate,shawn.still@senate.ga.gov,
Shea Roberts,Democratic,52,House,shea.roberts@house.ga.gov,
Sheikh Rahman,Democratic,5,Senate,sheikh.rahman@senate.ga.gov,
Sheila Jones,Democratic,60,House,sheila.jones@house.ga.gov,
Shelly Hutchinson,Democratic,106,House,shelly.hutchinson@house.ga.gov,
Solomon Adesanya,Democratic,43,House,solomon.adesanya@house.ga.gov,
Sonya Halpern,Democratic,39,Senate,sonya.halpern@senate.ga.gov,
Soo Hong,Republican,103,House,soo.hong@house.ga.gov,
Spencer Frye,Democratic,122,House,spencer.frye@house.ga.gov,
Stacey Evans,Democratic,57,House,stacey.evans@house.ga.gov,770-710-4087
Stan Gunter,Republican,8,House,stan.gunter@house.ga.gov,
Steve Gooch,Republican,51,Senate,steve.gooch@senate.ga.gov,
Steve Tarvin,Republican,2,House,steve.tarvin@house.ga.gov,
Steven Meeks,Republican,178,House,steven.meeks@house.ga.gov,
Steven Sainz,Republican,180,House,steven.sainz@house.ga.gov,
Sylvia Wayfer,Democratic,64,House,sylvia.baker@house.ga.gov,
Tangie Herring,Democratic,145,House,tangie.herring@house.ga.gov,
Tanya Miller,Democratic,62,House,tanya.miller@house.ga.gov,
Terry Cummings,Democratic,39,House,terry.cummings@house.ga.gov,
Tim Bearden,Republican,30,Senate,timothy.bearden@senate.ga.gov,
Tim Fleming,Republican,114,House,tim.fleming@house.ga.gov,
Todd Jones,Republican,25,House,todd.jones@house.ga.gov,
Tonya Anderson,Democratic,43,Senate,tonya.anderson@senate.ga.gov,
Teddy Reese,Democratic,140,House,tremaine.reese@house.ga.gov,
Trey Kelley,Republican,16,House,trey.kelley@house.ga.gov,
Trey Rhodes,Republican,124,House,trey.rhodes@house.ga.gov,
Tyler Smith,Republican,18,House,tyler.smith@house.ga.gov,
Vance Smith,Republican,138,House,vance.smith@house.ga.gov,
Victor Anderson,Republican,10,House,victor.anderson@house.ga.gov,
Viola Davis,Democratic,87,House,viola.davis@house.ga.gov,
Will Wade,Republican,9,House,will.wade@house.ga.gov,
Yasmin Neal,Democratic,79,House,yasmin.neal@house.ga.gov,
