name,party,district,chamber,email,capitol_voice
Danny Crawford,Republican,5,House,danny.crawford@alhouse.gov,256-871-1944
Danny Garrett,Republican,44,House,dannygarrett44@gmail.com,
David Faulkner,Republican,46,House,david@davidfaulkneral46.com,205-250-6604
David Sessions,Republican,35,Senate,d.r.sessions@att.net,
David Standridge,Republican,34,House,david.standridge@alhouse.gov,
Debbie Wood,Republican,38,House,debbie.wood@alhouse.gov,706-773-9404
Donna Givens,Republican,64,House,donnagivens64@gmail.com,
Donnie Chesteen,Republican,29,Senate,donnie.chesteen@alsenate.gov,
Ed Oliver,Republican,81,House,ed.oliver@alhouse.gov,
Ernie Yarbrough,Republican,7,House,yarbrough4house@gmail.com,
Frances Holk-Jones,Republican,95,House,frances.holk-jones@alhouse.gov,251-620-7470
Garlan Gudger,Republican,4,Senate,garlan.gudger@alsenate.gov,
Gerald Allen,Republican,21,Senate,gerald.allen@alsenate.gov,334-261-0861
Ginny Shaver,Republican,39,House,ginny.shaver@alhouse.gov,
Greg Albritton,Republican,22,Senate,galbritton@att.net,
Van Smith,Republican,42,House,ivan.smith@alhouse.gov,
Jabo Waggoner,Republican,16,Senate,jabo.waggoner@alsenate.gov,
Jack Williams,Republican,34,Senate,jackwilliams55@icloud.com,
James Lomax,Republican,20,House,jamesoliverlomax@gmail.com,
Jamie Kiel,Republican,18,House,jamie.kiel@alhouse.gov,
Jay Hovey,Republican,27,Senate,jay.hovey@alsenate.gov,
Jeana Ross,Republican,27,House,jeana.ross@alhouse.gov,256-582-0619
Jeff Sorrells,Republican,87,House,jeff.sorrells@alhouse.gov,205-620-6610
Jennifer Fidler,Republican,94,House,jennifer.fidler@alhouse.gov,251-620-9384
Jeremy Gray,Democratic,83,House,jeremy.gray@alhouse.gov,
Jerry Starnes,Republican,88,House,jerry.starnes@alhouse.gov,334-549-0782
Jim Carns,Republican,48,House,jwcarns@gmail.com,
Jim Hill,Republican,50,House,jim.hill@alhouse.gov,205-838-1990
Joe Lovvorn,Republican,79,House,joe.lovvorn@alhouse.gov,
Josh Carnley,Republican,31,Senate,josh.carnley@alsenate.gov,
Juandalynn Givan,Democratic,60,House,juandalynn.givan@alhouse.gov,
Keith Kelley,Republican,12,Senate,keith.kelley@alsenate.gov,
Kelvin Datcher,Democratic,52,House,kelvin.datcher@alhouse.gov,
Kelvin Lawrence,Democratic,69,House,kelvinj73@gmail.com,
Kenneth Paschal,Republican,73,House,kenneth.paschal@alhouse.gov,205-626-9458
Kenyatté Hassell,Democratic,78,House,ken.hassell@alhouse.gov,334-834-8494
Bubba Underwood,Republican,3,House,kerryucpa@me.com,256-248-4891
Kirk Hatcher,Democratic,26,Senate,kirk.hatcher@alsenate.gov,
Lance Bell,Republican,11,Senate,lance.bell@alsenate.gov,
Larry Stutts,Republican,6,Senate,larry.stutts@alsenate.gov,
Laura Hall,Democratic,19,House,laura.hall@alhouse.org,256-539-5441
Leigh Hulsey,Republican,15,House,leigh.hulsey@alhouse.gov,
Linda Coleman-Madison,Democratic,20,Senate,lcolemanmadison926@yahoo.com,
Mack Butler,Republican,28,House,mack.butler@alhouse.gov,
Marcus Paramore,Republican,89,House,marcusforhouse@gmail.com,
Margie Wilcox,Republican,104,House,margie.wilcox@alhouse.gov,
Marilyn Lands,Democratic,10,House,marilyn.lands@alhouse.gov,256-539-5441
Mark Gidley,Republican,29,House,mark.gidley@alhouse.gov,
Mark Shirey,Republican,100,House,mark.shirey@alhouse.gov,
Mary Moore,Democratic,59,House,mamoor48@bellsouth.net,
Matt Simpson,Republican,96,House,matt.simpson@alhouse.gov,
Matt Woods,Republican,13,House,matt.woods@alhouse.gov,
Matthew Hammett,Republican,92,House,matthew.hammett@alhouse.gov,334-496-3649
Merika Coleman,Democratic,19,Senate,merika.coleman@alsenate.gov,
Mike Kirkland,Republican,23,House,kirklandmike75@gmail.com,256-218-3090
Mike Shaw,Republican,47,House,mike.shaw@alabama47.com,
Napoleon Bracy,Democratic,98,House,napoleon.bracy@alhouse.org,251-327-2794
Nathaniel Ledbetter,Republican,24,House,nathaniel.ledbetter@alhouse.gov,
Neil Rafferty,Democratic,54,House,reprafferty@gmail.com,
Ontario Tillman,Democratic,56,House,ojtillman@gmail.com,205-417-1032
Parker Moore,Republican,4,House,parker.moore@alhouse.gov,256-227-6674
Penni McClammy,Democratic,76,House,patrice.mcclammy@alhouse.gov,334-414-7345
Patrick Sellers,Democratic,57,House,sellersfor57@yahoo.com,205-370-5370
Paul Lee,Republican,86,House,plee@wrcjobs.com,334-792-9682
Pebblin Warren,Democratic,82,House,tiger9127@bellsouth.net,
Phillip Ensler,Democratic,74,House,phillip.ensler@gmail.com,
Phillip Pettus,Republican,1,House,phillip.pettus@alhouse.gov,256-757-6679
Phillip Rigsby,Republican,25,House,reprigsbydistrict25@gmail.com,256-714-6376
Prince Chestnut,Democratic,67,House,chestnut4house@gmail.com,
Randall Shedd,Republican,11,House,randall.shedd@alhouse.gov,
Randy Price,Republican,13,Senate,randyprice.sd13@gmail.com,
Randy Wood,Republican,36,House,strep36@gmail.com,
Reed Ingram,Republican,75,House,reedingram75@gmail.com,
Rex Reynolds,Republican,21,House,rex.reynolds@alhouse.gov,
Rhett Marques,Republican,91,House,rhett.marques@alhouse.gov,334-289-5664
Rick Rehm,Republican,85,House,rrehm46@gmail.com,334-797-7770
Ritchie Whorton,Republican,22,House,ritchie.whorton@alhouse.gov,256-679-6490
Rob Stewart,Democratic,23,Senate,robert.stewart@alsenate.gov,
Rodger Smitherman,Democratic,18,Senate,rodger.smitherman@alsenate.gov,
Rolanda Hollis,Democratic,58,House,rolanda.hollis@alhouse.gov,
Ron Bolton,Republican,61,House,ronaldbolton1@gmail.com,205-242-9896
Russell Bedsole,Republican,49,House,russell.bedsole@alhouse.gov,334-261-0491
Sam Givhan,Republican,7,Senate,sam.givhan@alsenate.gov,
Sam Jones,Democratic,99,House,sam.jones@alhouse.gov,
Scott Stadthagen,Republican,9,House,scott.stadthagen@alhouse.gov,
Shane Stringer,Republican,102,House,shane.stringer@alhouse.gov,251-208-5480
Shay Shelnutt,Republican,17,Senate,shay.sd17@gmail.com,
Steve Clouse,Republican,93,House,steve.clouse@alhouse.org,
Steve Hurst,Republican,35,House,steve.hurst@alhouse.gov,334-280-3276
Steve Livingston,Republican,8,Senate,steve.livingston@alsenate.gov,
Susan DuBose,Republican,45,House,susandubose2@gmail.com,205-612-2433
TaShina Morris,Democratic,77,House,tashina.morris@alhouse.gov,256-328-1653
Terri Collins,Republican,8,House,terri@terricollins.org,256-260-2146
Thomas Jackson,Democratic,68,House,jthomase67@gmail.com,
Tim Melson,Republican,1,Senate,tim.melson@alsenate.gov,
Tim Wadsworth,Republican,14,House,wadsworth.tim654321@gmail.com,205-300-4008
Tom Butler,Republican,2,Senate,senbutler@aol.com,
Tracy Estes,Republican,17,House,tracy.estes@alhouse.gov,
Travis Hendrix,Democratic,55,House,hendrixfor55@gmail.com,205-254-2684
Troy Stubbs,Republican,31,House,troy.stubbs@hotmail.com,334-451-4589
Vivian Figures,Democratic,33,Senate,vivian.figures@alsenate.gov,
Wes Kitchens,Republican,9,Senate,weskitchens@mclo.org,
Will Barfoot,Republican,25,Senate,will.barfoot@alsenate.gov,
Billy Beasley,Democratic,28,Senate,billy.beasley@alsenate.gov,
