name,party,district,chamber,email,capitol_voice
Jay Trumbull,Republican,2,Senate,trumbull.jay.web@flsenate.gov,850-747-5454
Jeff Holcomb,Republican,53,House,jeff.holcomb@flhouse.gov,352-688-5004
Jenna Persons-Mulicka,Republican,78,House,jenna.persons@flhouse.gov,239-338-2328
Jennifer Bradley,Republican,6,Senate,bradley.jennifer.web@flsenate.gov,904-278-2085
Jennifer Canady,Republican,50,House,jennifer.canady@flhouse.gov,
Jennifer Kincart Jonsson,Republican,49,House,jennifer.jonsson@flhouse.gov,
Rita Harris,Democratic,44,House,rita.harris@flhouse.gov,407-237-9820
Tae Edmonds,Democratic,88,House,jervonte.edmonds@flhouse.gov,561-242-5530
Jessica Baker,Republican,17,House,jessica.baker@flhouse.gov,904-928-1217
Jim Boyd,Republican,20,Senate,boyd.jim.web@flsenate.gov,941-742-6445
Joe Gruters,Republican,22,Senate,gruters.joe.web@flsenate.gov,941-378-6309
Johanna López,Democratic,43,House,johanna.lopez@flhouse.gov,407-362-1113
John Temple,Republican,52,House,john.temple@flhouse.gov,352-315-4445
John Snyder,Republican,86,House,john.snyder@flhouse.gov,772-403-1064
Jon Albert,Republican,48,House,jon.albert@flhouse.gov,863-500-8310
Jonathan Martin,Republican,33,Senate,martin.jonathan.web@flsenate.gov,239-338-2570
Jose Alvarez,Democratic,46,House,jose.alvarez@flhouse.gov,407-964-8050
Joe Casello,Democratic,90,House,casello.joseph@flhouse.gov,561-292-6015
Josie Tomkow,Republican,51,House,josie.tomkow@flhouse.gov,863-656-8520
Juan Porras,Republican,119,House,juancarlos.porras@flhouse.gov,305-252-4307
Judson Sapp,Republican,20,House,judson.sapp@flhouse.gov,386-249-7060
Karen Gonzalez Pittman,Republican,65,House,karen.pittman@flhouse.gov,813-202-3345
Kathleen Passidomo,Republican,28,Senate,passidomo.kathleen.web@flsenate.gov,863-674-7122
Kaylee Tuck,Republican,83,House,kaylee.tuck@flhouse.gov,863-462-5019
Keith Truenow,Republican,13,Senate,truenow.keith.web@flsenate.gov,352-750-3133
Kelly Skidmore,Democratic,92,House,kelly.skidmore@flhouse.gov,561-496-5940
Kevin Chambliss,Democratic,117,House,kevin.chambliss@flhouse.gov,
Kevin Steele,Republican,55,House,kevin.steele@flhouse.gov,727-861-1898
Kim Kendall,Republican,18,House,kim.kendall@flhouse.gov,
Kim Berfield,Republican,58,House,kim.berfield@flhouse.gov,727-216-6035
Kim Daniels,Democratic,14,House,kimberly.daniels@flhouse.gov,904-359-2533
Kiyan Michael,Republican,16,House,kiyan.michael@flhouse.gov,904-242-3495
Kristen Arrington,Democratic,25,Senate,arrington.kristen@flsenate.gov,
LaVon Bracy Davis,Democratic,40,House,lavon.bracydavis@flhouse.gov,407-245-0010
Lauren Melo,Republican,82,House,lauren.melo@flhouse.gov,863-675-5267
Lawrence McClure,Republican,68,House,lawrence.mcclure@flhouse.gov,813-757-9110
Leonard Spencer,Democratic,45,House,leonard.spencer@flhouse.gov,
Linda Chaney,Republican,61,House,linda.chaney@flhouse.gov,
Lindsay Cross,Democratic,60,House,lindsay.cross@flhouse.gov,727-552-2747
Lisa Dunkley,Democratic,97,House,lisa.dunkley@flhouse.gov,954-746-1762
Lori Berman,Democratic,26,Senate,berman.lori.web@flsenate.gov,561-292-6014
Mack Bernard,Democratic,24,Senate,bernard.mack.web@flsenate.gov,561-650-6880
Marie Woodson,Democratic,105,House,marie.woodson@flhouse.gov,954-965-3700
Meg Weinberger,Republican,94,House,meg.weinberger@flhouse.gov,
Mike Caruso,Republican,87,House,mike.caruso@flhouse.gov,561-650-1066
Mike Gottlieb,Democratic,102,House,mike.gottlieb@flhouse.gov,
Michael Owen,Republican,70,House,michael.owen@flhouse.gov,
Michele Rayner,Democratic,62,House,michele.rayner@flhouse.gov,727-471-4706
Michelle Salzman,Republican,1,House,michelle.salzman@flhouse.gov,850-471-6024
Mike Giallombardo,Republican,79,House,mike.giallombardo@flhouse.gov,
Mike Redondo,Republican,118,House,mike.redondo@flhouse.gov,305-398-8004
Mitch Rosenwald,Democratic,98,House,mitch.rosenwald@flhouse.gov,954-481-0340
Monique Miller,Republican,33,House,monique.miller@flhouse.gov,321-497-8170
Nan Cobb,Republican,26,House,nan.cobb@flhouse.gov,
Nick DiCeglie,Republican,18,Senate,diceglie.nick.web@flsenate.gov,727-563-1910
Omar Blanco,Republican,115,House,omar.blanco@flhouse.gov,305-663-2065
Paula Stark,Republican,47,House,paula.stark@flhouse.gov,407-548-1930
Peggy Gossett-Seidman,Republican,91,House,peggy.gossettseidman@flhouse.gov,561-750-2396
Griff Griffitts,Republican,6,House,griff.griffitts@flhouse.gov,850-914-6300
Rachel Plakon,Republican,36,House,rachel.plakon@flhouse.gov,407-263-3931
Randy Maggard,Republican,54,House,randy.maggard@flhouse.gov,813-780-0667
Randy Fine,Republican,19,Senate,fine.randy.web@flsenate.gov,
Richard Gentry,Republican,27,House,richard.gentry@flhouse.gov,
Robbie Brackett,Republican,34,House,robert.brackett@flhouse.gov,772-778-5005
Alex Andrade,Republican,2,House,alex.andrade@flhouse.gov,850-595-0467
Chuck Brannan,Republican,10,House,chuck.brannan@flhouse.gov,904-259-0995
Robin Bartleman,Democratic,103,House,robin.bartleman@flhouse.gov,954-872-1770
Rosalind Osgood,Democratic,32,Senate,osgood.rosalind.web@flsenate.gov,954-321-2705
Ryan Chamberlin,Republican,24,House,ryan.chamberlin@flhouse.gov,352-635-0450
Sam Garrison,Republican,11,House,sam.garrison@flhouse.gov,904-278-2062
Sam Greco,Republican,19,House,sam.greco@flhouse.gov,386-446-7644
Shane Abbott,Republican,5,House,shane.abbott@flhouse.gov,850-718-0047
Shev Jones,Democratic,34,Senate,jones.shevrin.web@flsenate.gov,305-493-6002
Stan McClain,Republican,9,Senate,mcclain.stan.web@flsenate.gov,
Susan Valdés,Republican,64,House,susan.valdes@flhouse.gov,813-673-4673
Susan Plasencia,Republican,37,House,susan.plasencia@flhouse.gov,407-623-1305
Taylor Yarkosky,Republican,25,House,taylor.yarkosky@flhouse.gov,352-404-0003
Tom Leek,Republican,7,Senate,leek.tom.web@flsenate.gov,386-446-7610
Patt Maney,Republican,4,House,patt.maney@flhouse.gov,850-226-5029
Tiffany Esposito,Republican,77,House,tiffany.esposito@flhouse.gov,
Tina Polsky,Democratic,30,Senate,polsky.tina.web@flsenate.gov,561-443-8170
Toby Overdorf,Republican,85,House,toby.overdorf@flhouse.gov,772-221-4961
Tommy Wright,Republican,8,Senate,wright.tom.web@flsenate.gov,386-304-7630
Tom Fabricio,Republican,110,House,tom.fabricio@flhouse.gov,305-503-3737
Traci Koster,Republican,66,House,traci.koster@flhouse.gov,
Tracie Davis,Democratic,5,Senate,davis.tracie.web@flsenate.gov,904-359-2575
Tyler Sirois,Republican,31,House,tyler.sirois@flhouse.gov,321-449-5111
Vanessa Oliver,Republican,76,House,vanessa.oliver@flhouse.gov,941-613-0914
Vicki Lopez,Republican,113,House,vicki.lopez@flhouse.gov,
Wallace Aristide,Democratic,107,House,wallace.aristide@flhouse.gov,305-488-5530
Webster Barnaby,Republican,29,House,webster.barnaby@flhouse.gov,386-736-5042
Will Robinson,Republican,71,House,will.robinson@flhouse.gov,941-744-5097
Wyman Duggan,Republican,12,House,wyman.duggan@flhouse.gov,904-381-6011
Yvette Benarroch,Republican,81,House,yvette.benarroch@flhouse.gov,239-232-8810
Yvonne Hinson,Democratic,21,House,yvonne.hinson@flhouse.gov,352-264-4001
