name,party,district,chamber,email,capitol_voice
Junie Joseph,Democratic,10,House,junie.joseph.house@coleg.gov,
Karen McCormick,Democratic,11,House,karen.mccormick.house@coleg.gov,
Katie Stewart,Democratic,59,House,katie.stewart.house@coleg.gov,
Ken DeGraaf,Republican,22,House,ken.degraaf.house@coleg.gov,
Kyle Brown,Democratic,12,House,kyle.brown.house@coleg.gov,
Kyle Mullica,Democratic,24,Senate,kyle.mullica.senate@coleg.gov,
Larry Liston,Republican,10,Senate,larry.liston.senate@coleg.gov,
Larry Suckla,Republican,58,House,larry.suckla.house@coleg.gov,
Lesley Smith,Democratic,49,House,lesley.smith.house@coleg.gov,
Lindsay Gilchrist,Democratic,8,House,lindsay.gilchrist.house@coleg.gov,
Lindsey Daugherty,Democratic,19,Senate,lindsey.daugherty.senate@coleg.gov,
Lisa Cutter,Democratic,20,Senate,lisa.cutter.senate@coleg.gov,
Lisa Feret,Democratic,24,House,lisa.feret.house@coleg.gov,
Lisa Frizell,Republican,2,Senate,lisa.frizell.senate@coleg.gov,
Lorena García,Democratic,35,House,lorena.garcia.house@coleg.gov,
Lori Sander,Republican,65,House,lori garciasander.house@coleg.gov,
Mandy Lindsay,Democratic,42,House,mandy.lindsay.house@coleg.gov,
Manny Rutinel,Democratic,32,House,manny.rutinel.house@coleg.gov,
Marc Catlin,Republican,5,Senate,marc.catlin.senate@coleg.gov,
Marc Snyder,Democratic,12,Senate,marc.snyder.senate@coleg.gov,
Mark Baisley,Republican,4,Senate,mark.baisley@senate.co.com,
Mary Bradfield,Republican,21,House,mary.bradfield.house@coleg.gov,
Matt Ball,Democratic,31,Senate,matt.ball.senate@coleg.gov,
Matt Soper,Republican,54,House,matthew.soper.house@coleg.gov,
Matt Martinez,Democratic,62,House,matthew.martinez.house@coleg.gov,
Max Brooks,Republican,45,House,max.brooks.house@coleg.gov,
Meg Froelich,Democratic,3,House,meg.froelich.house@coleg.gov,
Meghan Lukens,Democratic,26,House,meghan.lukens.house@coleg.gov,
Michael Carter,Democratic,36,House,michael.carter.house@coleg.gov,
Mike Weissman,Democratic,28,Senate,mike.weissman.senate@coleg.gov,
Monica Duran,Democratic,23,House,monica.duran.house@coleg.gov,
Naquetta Ricks,Democratic,40,House,naquetta.ricks.house@coleg.gov,
Nick Hinrichsen,Democratic,3,Senate,nick.hinrichsen.senate@coleg.gov,
Paul Lundeen,Republican,9,Senate,paul.lundeen.senate@coleg.gov,
Rebecca Keltie,Republican,16,House,rebecca.keltie.house@coleg.gov,
Rebekah Stewart,Democratic,30,House,rebekah.stewart.house@coleg.gov,
Regina English,Democratic,17,House,regina.english.house@coleg.gov,
Rick Taggart,Republican,55,House,rick.taggart.house@coleg.gov,
Robert Rodriguez,Democratic,32,Senate,robert.rodriguez.senate@coleg.gov,
Rod Pelton,Republican,35,Senate,rod.pelton.senate@coleg.gov,
Ron Weinberg,Republican,51,House,ron.weinberg.house@coleg.gov,
Rose Pugliese,Republican,14,House,rose.pugliese.house@coleg.gov,
Ryan Armagost,Republican,64,House,ryan.armagost.house@coleg.gov,
Ryan Gonzalez,Republican,50,House,ryan.gonzalez.house@coleg.gov,
Scott Bottoms,Republican,15,House,scott.bottoms.house@coleg.gov,
Scott Bright,Republican,13,Senate,scott.bright.senate@coleg.gov,
Sean Camacho,Democratic,6,House,sean.camacho.house@coleg.gov,
Shannon Bird,Democratic,29,House,shannon.bird.house@coleg.gov,
Sheila Lieder,Democratic,28,House,sheila.lieder.house@coleg.gov,
Stephanie Luck,Republican,60,House,stephanie.luck.house@coleg.gov,
Steven Woodrow,Democratic,2,House,steven.woodrow.house@coleg.gov,
Tammy Story,Democratic,25,House,tammy.story.house@coleg.gov,
Tisha Mauro,Democratic,46,House,tisha.mauro.house@coleg.gov,
Tom Sullivan,Democratic,27,Senate,tom.sullivan.senate@coleg.gov,
Tony Exum,Democratic,11,Senate,tony.exum.senate@coleg.gov,
Ty Winter,Republican,47,House,ty.winter.house@coleg.gov,
William Lindstedt,Democratic,33,House,william.lindstedt.house@coleg.gov,
Yara Zokaie,Democratic,52,House,yara.zokaie.house@coleg.gov,
