name,party,district,chamber,email,capitol_voice
Farley Santos,Democratic,109,House,farley.santos@cga.ct.gov,
Frank Smith,Democratic/Working Families,118,House,frank.smith@cga.ct.gov,
Fred Gee,Democratic,126,House,fred.gee@cga.ct.gov,
Gale Mastrofrancesco,Republican,80,House,gale.mastrofrancesco@housegop.ct.gov,
Gary Winfield,Democratic,10,Senate,winfield@senatedems.ct.gov,
Gary Turco,Democratic,27,House,gary.turco@cga.ct.gov,
Geoff Luxenberg,Democratic,12,House,geoff.luxenberg@cga.ct.gov,
Geraldo Reyes,Democratic,75,House,geraldo.reyes@cga.ct.gov,
Greg Howard,Republican,43,House,greg.howard@housegop.ct.gov,
Gregg Haddad,Democratic,54,House,gregory.haddad@cga.ct.gov,
Heather Somers,Republican,18,Senate,heather.somers@cga.ct.gov,
Hector Arzeno,Democratic,151,House,hector.arzeno@cga.ct.gov,
Henri Martin,Republican,31,Senate,henri.martin@cga.ct.gov,
Henry Genga,Democratic,10,House,henry.genga@cga.ct.gov,
Herron Gaston,Democratic,23,Senate,herron.gaston@cga.ct.gov,
Hilda Santiago,Democratic,84,House,hilda.santiago@cga.ct.gov,
Hubert Delany,Democratic,144,House,hubert.delany@cga.ct.gov,
Irene Haines,Republican,34,House,irene.haines@housegop.ct.gov,
Jaime Foster,Democratic/Independence/Working Families,57,House,jaime.foster@cga.ct.gov,
James Maroney,Democratic,14,Senate,maroney@senatedems.ct.gov,
Jimmy Sánchez,Democratic,6,House,james.sanchez@cga.ct.gov,
Jan Hochadel,Democratic/Working Families,13,Senate,jan.hochadel@cga.ct.gov,
Jane Garibay,Democratic,60,House,jane.garibay@cga.ct.gov,
Jason Buchsbaum,Republican,69,House,jason.buchsbaum@housegop.ct.gov,
Jason Doucette,Democratic,13,House,jason.doucette@cga.ct.gov,
Jason Perillo,Republican,113,House,jason.perillo@housegop.ct.gov,
Jason Rojas,Democratic,9,House,jason.rojas@cga.ct.gov,
Jay Case,Republican,63,House,jay.case@housegop.ct.gov,
Jeff Gordon,Republican,35,Senate,jeffrey.gordon@cga.ct.gov,
Jenn Leeper,Democratic/Working Families,132,House,jennifer.leeper@cga.ct.gov,
Jill Barry,Democratic,31,House,jill.barry@cga.ct.gov,
Jillian Gilchrest,Democratic,18,House,jillian.gilchrest@cga.ct.gov,
Joan Hartley,Democratic,15,Senate,hartley@senatedems.ct.gov,
Joe Canino,Republican,65,House,joseph.canino@housegop.ct.gov,
Joe Hoxha,Republican,78,House,joe.hoxha@housegop.ct.gov,
Joe Polletta,Republican,68,House,joe.polletta@housegop.ct.gov,
John Kissel,Republican,7,Senate,john.a.kissel@cga.ct.gov,
John Piscopo,Republican,76,House,john.piscopo@housegop.ct.gov,
John-Michael Parker,Democratic,101,House,john-michael.parker@cga.ct.gov,
John Santanella,Democratic,58,House,john.santanella@cga.ct.gov,
John Fonfara,Democratic,1,Senate,fonfara@senatedems.ct.gov,
Jack Fazzino,Democratic/Working Families,83,House,jack.fazzino@cga.ct.gov,
Jonathan Jacobson,Democratic,148,House,jonathan.jacobson@cga.ct.gov,
Jonathan Steinberg,Democratic,136,House,jonathan.steinberg@cga.ct.gov,
Jorge Cabrera,Democratic,17,Senate,jorge.cabrera@cga.ct.gov,
Joe Zullo,Republican,99,House,joe.zullo@housegop.ct.gov,
Joe Gresko,Democratic,121,House,joseph.gresko@cga.ct.gov,
Josh Elliott,Democratic,88,House,josh.elliott@cga.ct.gov,
Joshua Hall,Democratic,7,House,joshua.hall@cga.ct.gov,
Juan Candelaria,Democratic,95,House,juan.candelaria@cga.ct.gov,
Julie Kushner,Democratic,24,Senate,julie.kushner@cga.ct.gov,
Julio Concepción,Democratic,4,House,julio.concepcion@cga.ct.gov,
Kadeem Roberts,Democratic/Working Families,137,House,kadeem.roberts@cga.ct.gov,
Kai Belton,Democratic,100,House,kai.belton@cga.ct.gov,
Kaitlyn Shake,Democratic/Working Families,120,House,kaitlyn.shake@cga.ct.gov,
Kara Rochelle,Democratic,104,House,kara.rochelle@cga.ct.gov,
Karen Reddington-Hughes,Republican,66,House,karen.reddington-hughes@housegop.ct.gov,
Kate Farrar,Democratic/Working Families,20,House,kate.farrar@cga.ct.gov,
Kathy Kennedy,Republican,119,House,kathy.kennedy@housegop.ct.gov,
Ken Gucker,Democratic/Working Families,138,House,ken.gucker@cga.ct.gov,
Kerry Wood,Democratic,29,House,kerry.wood@cga.ct.gov,
Kevin Brown,Democratic,56,House,kevin.brown@cga.ct.gov,
Kevin Ryan,Democratic,139,House,kevin.ryan@cga.ct.gov,
Kurt Vail,Republican,52,House,kurt.vail@housegop.ct.gov,
Larry Butler,Democratic,72,House,larry.butler@cga.ct.gov,
Laurie Sweet,Democratic/Working Families,91,House,laurie.sweet@cga.ct.gov,
Lezlye Zupkus,Republican,89,House,lezlye.zupkus@housegop.ct.gov,
Liz Linehan,Democratic,103,House,liz.linehan@cga.ct.gov,
Lucy Dathan,Democratic,142,House,lucy.dathan@cga.ct.gov,
M.D. Rahman,Democratic/Working Families,4,Senate,md.rahman@cga.ct.gov,
M.J. Shannon,Democratic,117,House,mj.shannon@cga.ct.gov,
Mae Flexer,Democratic,29,Senate,flexer@senatedems.ct.gov,
Marcus Brown,Democratic,127,House,marcus.brown@cga.ct.gov,
Maria Horn,Democratic,64,House,maria.horn@cga.ct.gov,
Mark DeCaprio,Republican,48,House,mark.decaprio@housegop.ct.gov,
Mark Anderson,Republican,62,House,mark.anderson@housegop.ct.gov,
Martha Marx,Democratic/Working Families,20,Senate,martha.marx@cga.ct.gov,
Martin Looney,Democratic,11,Senate,looney@senatedems.ct.gov,
Marty Foncello,Republican,107,House,martin.foncello@housegop.ct.gov,
Mary Fortier,Democratic,79,House,mary.fortier@cga.ct.gov,
Mary Mushinsky,Democratic,85,House,mary.mushinsky@cga.ct.gov,
Mary Welander,Democratic/Working Families,114,House,mary.welander@cga.ct.gov,
Maryam Khan,Democratic,5,House,maryam.khan@cga.ct.gov,
Matt Blumenthal,Democratic,147,House,matt.blumenthal@cga.ct.gov,
Matt Lesser,Democratic,9,Senate,matthew.lesser@cga.ct.gov,
Matthew Ritter,Democratic,1,House,matthew.ritter@cga.ct.gov,
Melissa Osborne,Democratic,16,House,melissa.osborne@cga.ct.gov,
Michael Quinn,Democratic/Working Families,82,House,michaeld.quinn@cga.ct.gov,
Michael DiGiovancarlo,Democratic/Working Families,74,House,michael.digiovancarlo@cga.ct.gov,
Mike Demicco,Democratic,21,House,mike.demicco@cga.ct.gov,
Minnie Gonzalez,Democratic,3,House,minnie.gonzalez@cga.ct.gov,
Mitch Bolinsky,Republican,106,House,mitch.bolinsky@housegop.ct.gov,
Moira Rader,Democratic/Working Families,98,House,moira.rader@cga.ct.gov,
Nick Gauthier,Democratic,38,House,nick.gauthier@cga.ct.gov,
Nick Menapace,Democratic/Working Families,37,House,nick.menapace@cga.ct.gov,
Nicole Klarides-Ditria,Republican,105,House,nicole.klarides-ditria@housegop.ct.gov,
Norm Needleman,Democratic,33,Senate,norm.needleman@cga.ct.gov,
Pat Dillon,Democratic,92,House,patricia.dillon@cga.ct.gov,
Pat Miller,Democratic,27,Senate,patricia.miller@cga.ct.gov,
Patrick Biggins,Democratic,11,House,patrick.biggins@cga.ct.gov,
Pat Callahan,Republican,108,House,patrick.callahan@housegop.ct.gov,
Pat Boyd,Democratic,50,House,pat.boyd@cga.ct.gov,
Paul Cicarella,Republican,34,Senate,paul.cicarella@cga.ct.gov,
Paul Honig,Democratic/Working Families,8,Senate,paul.honig@cga.ct.gov,
Raghib Allie-Brennan,Democratic,2,House,raghib.allie-brennan@cga.ct.gov,
Rebecca Martinez,Democratic,22,House,rebecca.martinez@cga.ct.gov,
Renee Muir,Democratic,36,House,renee.lamarkmuir@cga.ct.gov,
Rick Lopes,Democratic,6,Senate,rick.lopes@cga.ct.gov,
Rob Sampson,Republican,16,Senate,rob.sampson@housegop.ct.gov,
Bobby Sanchez,Democratic,25,House,bobby.sanchez@cga.ct.gov,
Robin Comey,Democratic,102,House,robin.comey@cga.ct.gov,
Roland Lemar,Democratic,96,House,roland.lemar@cga.ct.gov,
Ron Napoli,Democratic,73,House,ron.napoli@cga.ct.gov,
Ryan Fazio,Republican,36,Senate,ryan.fazio@cga.ct.gov,
Sarah Keitt,Democratic,134,House,sarah.keitt@cga.ct.gov,
Saud Anwar,Democratic,3,Senate,saud.anwar@cga.ct.gov,
Savet Constantine,Democratic,42,House,savet.constantine@cga.ct.gov,
Seth Bronko,Republican,70,House,seth.bronko@housegop.ct.gov,
Stephen Harding,Republican,30,Senate,stephen.harding@cga.ct.gov,
Steve Meskers,Democratic,150,House,stephen.meskers@cga.ct.gov,
Steve Weir,Republican,55,House,steve.weir@housegop.ct.gov,
Steve Stafstrom,Democratic,129,House,steven.stafstrom@cga.ct.gov,
Steven Winter,Democratic,94,House,steve.winter@cga.ct.gov,
Sujata Gadkar-Wilcox,Democratic,22,Senate,gadkarwilcox@senatedems.ct.gov,
Susan Johnson,Democratic,49,House,susan.johnson@cga.ct.gov,
Tami Zawistowski,Republican,61,House,tami.zawistowski@housegop.ct.gov,
Tammy Nuccio,Republican,53,House,tammy.nuccio@housegop.ct.gov,
Tammy Exum,Democratic,19,House,tammy.exum@cga.ct.gov,
Tim Ackert,Republican,8,House,tim.ackert@housegop.ct.gov,
Tina Courpas,Republican,149,House,tina.courpas@housegop.ct.gov,
Tom Delnicki,Republican,14,House,tom.delnicki@housegop.ct.gov,
Tom O'Dea,Republican,125,House,tom.odea@housegop.ct.gov,
Toni Walker,Democratic,93,House,toni.walker@cga.ct.gov,
Tony Hwang,Republican,28,Senate,tony.hwang@cga.ct.gov,
Tony Scott,Republican,112,House,tony.scott@housegop.ct.gov,
Tracy Marra,Republican,141,House,tracy.marra@housegop.ct.gov,
Travis Simms,Democratic,140,House,travis.simms@cga.ct.gov,
Treneé McGee,Democratic,116,House,trenee.mcgee@cga.ct.gov,
Vincent Candelora,Republican,86,House,vincent.candelora@housegop.ct.gov,
Bill Pizzuto,Republican,71,House,william.pizzuto@housegop.ct.gov,
